EI,WI,EC,WC,EA,WA,AM,LC,MC,ND,PfW,SE,E,A,C,N,O,Test-1,Test-2,Test-3,BXI,CXI,TXI,Composite,Final Label
4.0,1.0,3.0,1.0,0.0,0.0,5.0,1.75,5.0,0.0,5.0,5.0,26.0,28.0,36.0,36.0,28.0,40,52,46,132,126,100.0,32.399626517273575,0
6.0,7.0,9.0,9.0,2.0,6.0,3.67,0.75,4.0,4.5,4.0,3.25,24.0,34.0,28.0,20.0,27.0,48,52,46,148,142,115.0,56.57874260815438,1
3.0,0.0,6.0,8.0,0.0,1.0,3.0,0.5,4.0,4.0,4.33,4.0,20.0,23.0,29.0,21.0,26.0,42,54,48,138,132,103.0,39.904295051353884,0
4.0,2.0,9.0,1.0,1.0,3.0,1.33,2.0,4.75,5.0,5.0,4.25,18.0,33.0,40.0,36.0,32.0,40,52,44,132,124,96.0,29.038281979458453,0
5.0,0.0,5.0,1.0,1.0,1.0,2.0,1.75,4.75,3.5,2.67,4.0,24.0,31.0,38.0,27.0,34.0,42,48,44,132,128,99.0,32.78478057889822,0
6.0,4.0,2.0,5.0,2.0,4.0,1.67,0.25,1.25,2.5,2.33,2.5,24.0,21.0,16.0,36.0,15.0,52,36,44,140,148,120.0,58.79240585122938,1
5.0,2.0,6.0,3.0,6.0,5.0,1.67,0.25,4.0,4.0,5.0,3.25,23.0,29.0,27.0,24.0,16.0,54,50,48,158,156,126.0,74.61873638344227,1
6.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.5,4.0,4.33,2.75,24.0,29.0,19.0,22.0,21.0,42,50,46,134,130,102.0,36.47681294740118,0
5.0,2.0,5.0,4.0,7.0,3.0,2.0,1.0,3.75,3.5,3.33,2.75,31.0,33.0,33.0,21.0,32.0,50,44,42,144,142,115.0,54.72689075630253,1
7.0,6.0,6.0,3.0,3.0,4.0,3.33,3.75,5.0,5.0,5.0,3.75,19.0,38.0,33.0,29.0,33.0,54,54,42,162,150,125.0,72.9341736694678,1
2.0,2.0,1.0,2.0,0.0,3.0,1.33,0.75,1.0,1.5,1.0,0.75,20.0,19.0,28.0,25.0,23.0,42,36,48,120,132,100.0,29.785247432306257,0
3.0,1.0,7.0,0.0,1.0,1.0,1.33,0.75,4.25,4.5,4.67,3.25,30.0,32.0,24.0,21.0,32.0,42,50,40,134,124,100.0,32.34516028633676,0
5.0,5.0,7.0,6.0,0.0,3.0,5.0,2.75,5.0,5.0,3.33,3.5,22.0,24.0,32.0,33.0,37.0,48,54,44,150,140,113.0,55.333800186741364,1
6.0,4.0,6.0,4.0,4.0,4.0,4.33,2.5,5.0,5.0,3.0,3.75,19.0,33.0,32.0,21.0,33.0,58,52,44,168,160,133.0,85.37581699346407,2
7.0,5.0,7.0,5.0,4.0,5.0,2.0,2.25,4.5,4.0,5.0,3.5,32.0,31.0,35.0,36.0,27.0,58,50,42,166,158,134.0,84.06473700591349,2
3.0,1.0,4.0,3.0,0.0,1.0,3.0,1.25,2.25,1.0,3.33,3.25,18.0,26.0,33.0,25.0,28.0,44,42,48,130,136,106.0,39.94708994708995,0
6.0,1.0,6.0,6.0,0.0,1.0,4.33,0.25,2.5,4.5,4.33,-0.25,20.0,31.0,38.0,33.0,28.0,48,48,46,144,142,116.0,55.322128851540626,1
5.0,3.0,6.0,7.0,2.0,2.0,1.0,1.25,1.25,2.5,2.33,1.25,22.0,27.0,30.0,10.0,28.0,48,36,48,132,144,112.0,48.36601307189542,1
5.0,1.0,4.0,7.0,1.0,1.0,0.33,1.75,3.75,2.5,3.33,2.0,20.0,25.0,27.0,22.0,25.0,46,40,48,132,140,109.0,44.61951447245565,1
3.0,1.0,4.0,1.0,2.0,1.0,1.67,-0.5,2.25,5.0,3.0,5.0,25.0,30.0,39.0,34.0,33.0,42,46,46,130,130,99.0,32.839246809835046,0
7.0,6.0,2.0,3.0,3.0,2.0,3.33,1.5,4.0,4.0,4.67,2.75,34.0,33.0,37.0,36.0,33.0,48,52,42,148,138,113.0,53.4274821039527,1
7.0,5.0,5.0,4.0,6.0,6.0,5.0,0.5,4.25,5.0,5.0,4.5,22.0,28.0,30.0,26.0,27.0,58,56,46,172,162,136.0,89.99377528789294,2
5.0,1.0,3.0,4.0,6.0,4.0,1.67,2.5,2.25,1.5,1.33,2.5,20.0,36.0,24.0,16.0,27.0,52,36,44,140,148,120.0,58.79240585122938,1
6.0,6.0,9.0,5.0,5.0,5.0,4.67,2.0,4.5,2.0,5.0,4.75,28.0,31.0,30.0,28.0,29.0,56,52,42,164,154,132.0,79.98755057578587,2
